epoch,lr,train_loss,train_connectivity_loss,train_hsloc_loss,train_acc,train_direction_top1,train_direction_top2,train_direction_count,val_loss,val_connectivity_loss,val_hsloc_loss,val_acc,val_direction_top1,val_direction_top2,val_direction_count,val_fixed_accuracy,val_fixed_precision,val_fixed_recall,val_fixed_f1,val_fixed_tp,val_fixed_tn,val_fixed_fp,val_fixed_fn,val_best_threshold,val_best_accuracy,val_best_precision,val_best_recall,val_best_f1,val_best_tp,val_best_tn,val_best_fp,val_best_fn,pos_prob_mean,neg_prob_mean,borderline_ratio
1,4.6666666666666665e-05,0.6955537125326519,0.46676127155728936,1.1439621864653269,0.8803107165504122,0.509913258983891,0.686183395291202,3228.0,0.3510782680742007,0.2502911706809334,0.5039354803149634,0.9351145038167938,0.5343511450381679,0.7506361323155216,393.0,0.9351145038167938,0.9317507418397626,0.7989821882951654,0.8602739726027397,314.0,1156.0,23.0,79.0,0.6,0.9363867684478372,0.9373134328358209,0.7989821882951654,0.8626373626373626,314.0,1158.0,21.0,79.0,0.79296875,0.034423828125,0.0019083969527855515
2,7.333333333333333e-05,0.648790890557636,0.4431741730066119,1.028083572942544,0.8918833227647431,0.5754330708661417,0.7669291338582677,3175.0,0.33345320617955454,0.22872006554339014,0.5236656909225551,0.933206106870229,0.5190839694656488,0.7302798982188295,393.0,0.933206106870229,0.9186046511627907,0.8040712468193384,0.8575305291723202,316.0,1151.0,28.0,77.0,0.35,0.9351145038167938,0.9193083573487032,0.811704834605598,0.8621621621621621,319.0,1151.0,28.0,74.0,0.80078125,0.056396484375,0.005089058540761471
3,0.0001,0.6510419373033768,0.44538905542195034,1.028264391909843,0.8923589093214965,0.5928705440900562,0.7701688555347092,3198.0,0.36792947990824554,0.2690197120428929,0.4945488296847307,0.9274809160305344,0.5801526717557252,0.7531806615776081,393.0,0.9274809160305344,0.8604651162790697,0.8473282442748091,0.8538461538461538,333.0,1125.0,54.0,60.0,0.7,0.9293893129770993,0.873015873015873,0.8396946564885496,0.8560311284046692,330.0,1131.0,48.0,63.0,0.83984375,0.061767578125,0.004452926106750965
4,9.915716843435315e-05,0.6193024890618983,0.41823364262272456,1.0053442139261193,0.8979074191502854,0.6214374225526642,0.797087980173482,3228.0,0.31240223871387596,0.21237835581189274,0.5001194011467407,0.9478371501272265,0.5648854961832062,0.7760814249363868,393.0,0.9478371501272265,0.9560117302052786,0.8295165394402035,0.8882833787465939,326.0,1164.0,15.0,67.0,0.5,0.9478371501272265,0.9560117302052786,0.8295165394402035,0.8882833787465939,326.0,1164.0,15.0,67.0,0.8203125,0.033447265625,0.0012722646351903677
5,9.665737535551561e-05,0.5902569550234227,0.39630159179957025,0.9697768008436821,0.9053582752060875,0.6519685039370079,0.8116535433070866,3175.0,0.34391644659615656,0.24140908144729606,0.5125368111612839,0.9249363867684478,0.5318066157760815,0.7582697201017812,393.0,0.9249363867684478,0.8534704370179949,0.8447837150127226,0.8491048593350384,332.0,1122.0,57.0,61.0,0.35,0.926208651399491,0.850632911392405,0.8549618320610687,0.8527918781725888,336.0,1120.0,59.0,57.0,0.83984375,0.08251953125,0.0057251909747719765
6,9.258574821861591e-05,0.5797532151489222,0.38634542430016955,0.9670389387414058,0.9069435637285986,0.6607254534083803,0.8267667292057536,3198.0,0.35557336925171107,0.25737623391381487,0.49098565886342194,0.9306615776081425,0.5928753180661578,0.7837150127226463,393.0,0.9306615776081425,0.8622448979591837,0.8600508905852418,0.8611464968152867,338.0,1125.0,54.0,55.0,0.6,0.9325699745547074,0.8727272727272727,0.8549618320610687,0.8637532133676092,336.0,1130.0,49.0,57.0,0.8515625,0.0634765625,0.0069974553771317005
7,8.708094140242264e-05,0.5615732590127536,0.37084285531620587,0.9536520027441546,0.9113823715916297,0.6689698492462312,0.8269472361809045,3184.0,0.35679358949188056,0.2579831064906227,0.49405240838157616,0.9325699745547074,0.549618320610687,0.7608142493638677,393.0,0.9325699745547074,0.8708010335917312,0.8575063613231552,0.8641025641025641,337.0,1129.0,50.0,56.0,0.65,0.9344783715012722,0.8795811518324608,0.8549618320610687,0.8670967741935484,336.0,1133.0,46.0,57.0,0.84765625,0.064453125,0.0031806614715605974
8,8.033041450077321e-05,0.5268741892715686,0.34217298714020017,0.9235059953257488,0.9194673430564363,0.6975289333750391,0.8576790741319987,3197.0,0.33552316219827905,0.2373423930127221,0.49090383632189144,0.9344783715012722,0.5623409669211196,0.7608142493638677,393.0,0.9344783715012722,0.8625,0.8778625954198473,0.8701134930643127,345.0,1124.0,55.0,48.0,0.65,0.9376590330788804,0.8734177215189873,0.8778625954198473,0.8756345177664975,345.0,1129.0,50.0,48.0,0.8671875,0.07177734375,0.013994910754263401
9,7.256404861093866e-05,0.5099328017605205,0.32823204312570387,0.90850377840639,0.9231135066582118,0.7159447583176397,0.8835530445699937,3186.0,0.3352302698840318,0.2375060494653833,0.48862109012882826,0.9357506361323156,0.5928753180661578,0.7760814249363868,393.0,0.9357506361323156,0.8903743315508021,0.8473282442748091,0.8683181225554106,333.0,1138.0,41.0,60.0,0.65,0.9376590330788804,0.9019073569482289,0.8422391857506362,0.8710526315789474,331.0,1143.0,36.0,62.0,0.8359375,0.0517578125,0.0031806614715605974
10,6.404631800856812e-05,0.4804404028889191,0.29520325178780094,0.926185738137045,0.9346861128725428,0.7337662337662337,0.8809523809523809,3234.0,0.3786604858309258,0.2805763484327165,0.490420681753838,0.926208651399491,0.5776081424936387,0.7709923664122137,393.0,0.926208651399491,0.8386308068459658,0.8727735368956743,0.8553615960099751,343.0,1113.0,66.0,50.0,0.6,0.928117048346056,0.8448275862068966,0.8727735368956743,0.8585732165206508,343.0,1116.0,63.0,50.0,0.86328125,0.07373046875,0.00890585221350193
