pano_a_path,pano_b_path,label,house_a,house_b,pair_source,topology_distance,split
Dataset\DollhouseTask_63925_NoOutdoor\DollhouseTask_63925_NoOutdoor\08dde29f-6eed-4543-81cf-05bedbce308a.jpg,Dataset\DollhouseTask_63925_NoOutdoor\DollhouseTask_63925_NoOutdoor\08dde29f-cde5-470f-88dc-eb3fb846d74b.jpg,0,DollhouseTask_63925_NoOutdoor,DollhouseTask_63925_NoOutdoor,topology_distance_negative,8,train
Dataset\DollhouseTask_69734_NoOutdoor\DollhouseTask_69734_NoOutdoor\08de13ee-461a-41a9-8831-5382b28e1444.jpg,Dataset\DollhouseTask_69734_NoOutdoor\DollhouseTask_69734_NoOutdoor\08de13ee-b462-49a7-80cb-a2504dd3ec9a.jpg,0,DollhouseTask_69734_NoOutdoor,DollhouseTask_69734_NoOutdoor,topology_distance_negative,6,train
Dataset\DollhouseTask_63925_NoOutdoor\DollhouseTask_63925_NoOutdoor\08dde29f-d4f2-405e-8aa2-3c75839cb43a.jpg,Dataset\DollhouseTask_63925_NoOutdoor\DollhouseTask_63925_NoOutdoor\08dde2a0-6b6f-4d92-89b4-a475b312a2ec.jpg,0,DollhouseTask_63925_NoOutdoor,DollhouseTask_63925_NoOutdoor,topology_distance_negative,8,train
Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fe-11d5-482b-839f-93227b29f8f1.jpg,Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fe-e4e2-42f6-84f8-6e61943b470d.jpg,0,DollhouseTask_68478_NoOutdoor,DollhouseTask_68478_NoOutdoor,topology_distance_negative,11,train
Dataset\DollhouseTask_66500_NoOutdoor\08ddf87f-36de-4607-83f5-cf6365a829cb.jpg,Dataset\DollhouseTask_66500_NoOutdoor\08ddf87f-d1f4-4fe8-8284-3fb5767490a1.jpg,0,DollhouseTask_66500_NoOutdoor,DollhouseTask_66500_NoOutdoor,topology_distance_negative,6,train
Dataset\DollhouseTask_59203_NoOutdoor\DollhouseTask_59203_NoOutdoor\08ddbc0e-6565-4123-8555-d320684a60c4.jpg,Dataset\DollhouseTask_59203_NoOutdoor\DollhouseTask_59203_NoOutdoor\08ddbc0e-abb0-4012-8b83-23796e116240.jpg,0,DollhouseTask_59203_NoOutdoor,DollhouseTask_59203_NoOutdoor,topology_distance_negative,10,train
Dataset\DollhouseTask_66682\DollhouseTask_66682\08ddf6c4-05ec-4366-85f8-d02723602ce6.jpg,Dataset\DollhouseTask_66682\DollhouseTask_66682\08ddf6c4-763b-44d2-8b4f-afbb668ef0a4.jpg,0,DollhouseTask_66682,DollhouseTask_66682,topology_distance_negative,6,train
Dataset\DollhouseTask_65000\DollhouseTask_65000\08ddec9a-7b00-474c-8270-0272337370e2.jpg,Dataset\DollhouseTask_65000\DollhouseTask_65000\08ddec9a-afcc-4aea-8147-8a08ea109c4f.jpg,0,DollhouseTask_65000,DollhouseTask_65000,topology_distance_negative,5,train
Dataset\DollhouseTask_66502_NoOutdoor\DollhouseTask_66502_NoOutdoor\08ddf88b-8d03-409d-81f6-0e440e14254d.jpg,Dataset\DollhouseTask_66502_NoOutdoor\DollhouseTask_66502_NoOutdoor\08ddf88d-5b3a-452a-8053-b75198572cc9.jpg,0,DollhouseTask_66502_NoOutdoor,DollhouseTask_66502_NoOutdoor,topology_distance_negative,4,train
Dataset\DollhouseTask_67838_NoOutdoor\08de0387-1b89-44f7-8321-9232f26bf4f3.jpg,Dataset\DollhouseTask_67838_NoOutdoor\08de0388-049e-4a9b-8288-49996a6fc20d.jpg,0,DollhouseTask_67838_NoOutdoor,DollhouseTask_67838_NoOutdoor,topology_distance_negative,7,train
Dataset\DollhouseTask_59203_NoOutdoor\DollhouseTask_59203_NoOutdoor\08ddbc0c-6d7d-4131-8dfd-d4cde4f5ca79.jpg,Dataset\DollhouseTask_59203_NoOutdoor\DollhouseTask_59203_NoOutdoor\08ddbc0c-c82f-4d83-890c-bb0c18802b61.jpg,0,DollhouseTask_59203_NoOutdoor,DollhouseTask_59203_NoOutdoor,topology_distance_negative,4,train
Dataset\DollhouseTask_63925_NoOutdoor\DollhouseTask_63925_NoOutdoor\08dde29f-e1ea-422f-8b3d-885dbd6dabdf.jpg,Dataset\DollhouseTask_63925_NoOutdoor\DollhouseTask_63925_NoOutdoor\08dde29f-e88a-4b79-8655-d5f91e91b738.jpg,0,DollhouseTask_63925_NoOutdoor,DollhouseTask_63925_NoOutdoor,topology_distance_negative,7,train
Dataset\DollhouseTask_63925_NoOutdoor\DollhouseTask_63925_NoOutdoor\08dde29f-8aa0-4929-8e34-4aed5d434193.jpg,Dataset\DollhouseTask_63925_NoOutdoor\DollhouseTask_63925_NoOutdoor\08dde2a0-8c6f-4134-8c84-d8ab8f7d2049.jpg,1,DollhouseTask_63925_NoOutdoor,DollhouseTask_63925_NoOutdoor,hotspot_positive,,train
Dataset\DollhouseTask_67192_NoOutdoor\DollhouseTask_67192_NoOutdoor\08ddfdef-588c-4e2b-8fb2-c5ee92279b01.jpg,Dataset\DollhouseTask_67192_NoOutdoor\DollhouseTask_67192_NoOutdoor\08ddfdef-9cdb-48ad-82e9-29a3b8246e0c.jpg,0,DollhouseTask_67192_NoOutdoor,DollhouseTask_67192_NoOutdoor,topology_distance_negative,4,train
Dataset\DollhouseTask_69734_NoOutdoor\DollhouseTask_69734_NoOutdoor\08de13ee-0fbc-4dda-80b0-302bdd121a28.jpg,Dataset\DollhouseTask_69734_NoOutdoor\DollhouseTask_69734_NoOutdoor\08de13ee-3ec0-4691-838e-c78cd50d8c93.jpg,0,DollhouseTask_69734_NoOutdoor,DollhouseTask_69734_NoOutdoor,topology_distance_negative,4,train
Dataset\DollhouseTask_69126_NoOutdoor\08de0e70-a9c1-497e-827d-7547d9c51d93.jpg,Dataset\DollhouseTask_69126_NoOutdoor\08de0e71-3137-416e-83c0-a782f8590cfa.jpg,0,DollhouseTask_69126_NoOutdoor,DollhouseTask_69126_NoOutdoor,topology_distance_negative,4,train
